variable,appears_in,type,unit,values,description
latency_ms,"trials,raw_events",int,ms,,Response latency; INCLUDES spoken-prompt time - avoid for pure RT claims.
latency_from_prompt_end_ms,"trials,raw_events",int,ms,,Clean reaction time measured from prompt end (subset of games only).
hinted,"trials,raw_events",bool01,,1 | 0,A hint had fired before the answer.
construct,"trials,raw_events",string,,greetings | sharing | turns | ...,Social-norms sub-skill the item measures (social-norms games only).
cue,"trials,raw_events",string,,verbal | gesture | orient | pulse | hover | distal,Joint-attention / roll cue level.
visible_count,"trials,raw_events",int,count,,Options on screen (pointing games) -> chance = 1/visible_count.
head_yaw_travel_deg,"trials,raw_events",float,deg,,VR head-scan path length (VR only).
head_yaw_range_deg,"trials,raw_events",float,deg,,VR widest yaw span visited (VR only).
head_reversals,"trials,raw_events",int,count,,VR back-and-forth head reversals - hesitation (VR only).
head_to_target_ms,"trials,raw_events",int,ms,,VR time until the head first pointed at the target (VR only).
timestamp,trials,datetime,,ISO 8601,Trial time.
n_sessions,dose,int,count,,Sessions of this game.
n_scored_trials,dose,int,count,,Scored trials of this game.
first_session,dose,date,,YYYY-MM-DD,Date of the first session of this game.
last_session,dose,date,,YYYY-MM-DD,Date of the most recent session of this game.
span_days,dose,int,days,,Calendar days from first to last session of this game.
median_gap_days,dose,int,days,,Typical spacing (days) between consecutive sessions of this game.
started_at,sessions,datetime,,ISO 8601,Session start time.
ended_at,sessions,datetime,,ISO 8601,Session end time (blank if never closed).
duration_s,sessions,int,seconds,,ended_at - started_at.
final_score,sessions,int,points,,Raw per-game tally at session end (NOT the standardised score).
n_events,sessions,int,count,,Recorded events attached to the session.
level,"level_progress,raw_events",string,,easy | medium | hard,Difficulty tier.
attempts,level_progress,int,count,,Times this level was attempted.
best_score,level_progress,int,points,,Best raw score on the level.
best_accuracy,level_progress,float,0-1,,Best uncorrected accuracy on the level.
unlocked,level_progress,bool01,,1 | 0,Whether the level is unlocked.
passed,level_progress,bool01,,1 | 0,best_accuracy >= 70%.
mastered,level_progress,bool01,,1 | 0,best_accuracy >= 80%.
created_at,"participants,level_progress",datetime,,ISO 8601,"Row creation time (server, UTC)."
updated_at,level_progress,datetime,,ISO 8601,Last time the progress row changed.
event_type,raw_events,string,,answer | roll_return | place_block | hand_off | impatient_tap | share | no_share | game_over,The kind of step recorded.
step_index,raw_events,int,count,,0-based order of the step within its session.
event_score,raw_events,int,points,,Running/final game tally on the event.
created_at (event),raw_events,datetime,,ISO 8601,Authoritative server time the event was stored.
correct,raw_events,bool01,,1 | 0,Whether the response was correct.
firstAttempt,raw_events,bool01,,1 | 0,First-attempt success (pointing/roll games close a round on a correct tap).
attempt,raw_events,int,count,,Attempt number (retry-allowed games; 1 = first).
boardCount,raw_events,int,count,,Answer options presented (quiz games).
cueKind,raw_events,string,,gesture | gaze,Cue modality (museum / joint-attention).
answer,raw_events,string,,happy | sad | angry | surprised | scared | disgust,Emotion shown (emotion games).
picked,raw_events,string,,,Option/emotion the child chose.
spontaneous,raw_events,bool01,,1 | 0,Share completed before any helper nudge (initiating joint attention).
nudges,raw_events,int,count,,Helper nudges fired before a share.
saliency,raw_events,string,,big | subtle,Surprise salience (initiating-JA games).
xrPresenting,raw_events,bool01,,1 = VR | 0 = flat,"Immersive VR vs flat screen (same game, two conditions)."
inputMethod,raw_events,string,,dwell | controller,Selection method; never pool dwell (gaze) with controller latencies.
targetBearingDeg,raw_events,float,deg,,Angle of the target from screen centre (VR).
errorType,raw_events,string,,adjacent | ...,Mis-tap error classification (pointing games).
